;factor;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Village headquarters;1,26;70;88,2;111,132;140,02632;176,4331632;222,3057856;280,1052899;352,9326653;444,6951582;560,3158994;705,9980332;889,5575219;1120,842478;1412,261522;1779,449517;2242,106392;2825,054054;3559,568108;4485,055816;5651,170328;7120,474613;8971,798012;11304,4655;14243,62652;17946,96942;22613,18147;28492,60865;35900,6869;45234,8655;56995,93053
Barracks;1,26;90;113,4;142,884;180,03384;226,8426384;285,8217244;360,1353727;453,7705696;571,7509177;720,4061563;907,711757;1143,716814;1441,083185;1815,764814;2287,863665;2882,708218;3632,212355;4576,587567;5766,500334;7265,790421;9154,895931;11535,16887;14534,31278;18313,2341;23074,67497;29074,09046;36633,35398;46158,02602;58159,11278;73280,4821
Stable;1,26;260;327,6;412,776;520,09776;655,3231776;825,7072038;1040,391077;1310,892757;1651,724873;2081,173341;2622,278409;3304,070795;4163,129202;5245,542795;6609,383922;8327,823741;10493,05791;13221,25297;16658,77874;20990,06122;26447,47713;33323,82119;41988,0147;52904,89852;66660,17213;83991,81689;105829,6893;133345,4085;168015,2147;211699,1705
Workshop;1,26;260;327,6;412,776;520,09776;655,3231776;825,7072038;1040,391077;1310,892757;1651,724873;2081,173341;2622,278409;3304,070795;4163,129202;5245,542795;6609,383922;8327,823741;10493,05791;13221,25297;16658,77874;20990,06122;26447,47713;33323,82119;41988,0147;52904,89852;66660,17213;83991,81689;105829,6893;133345,4085;168015,2147;211699,1705
First Church;1,26;50;63;79,38;100,0188;126,023688;158,7898469;200,0752071;252,0947609;317,6393987;400,2256424;504,2843094;635,3982299;800,6017697;1008,75823;1271,03537;1601,504566;2017,895753;2542,548648;3203,611297;4036,550234;5086,053295;6408,427152;8074,618211;10174,01895;12819,26387;16152,27248;20351,86332;25643,34779;32310,61821;40711,37895
Church;1,26;5000;6300;7938;10001,88;12602,3688;15878,98469;20007,52071;25209,47609;31763,93987;40022,56424;50428,43094;63539,82299;80060,17697;100875,823;127103,537;160150,4566;201789,5753;254254,8648;320361,1297;403655,0234;508605,3295;640842,7152;807461,8211;1017401,895;1281926,387;1615227,248;2035186,332;2564334,779;3231061,821;4071137,895
Watchtower;1,18;10000;11800;13924;16430,32;19387,7776;22877,57757;26995,54153;31854,73901;37588,59203;44354,53859;52338,35554;61759,25953;72875,92625;85993,59298;101472,4397;119737,4789;141290,2251;166722,4656;196732,5094;232144,3611;273930,346;323237,8083;381420,6138;450076,3243;531090,0627;626686,274;739489,8033;872597,9679;1029665,602;1215005,41
Academy;2;10000;20000;40000;80000;160000;320000;640000;1280000;2560000;5120000;10240000;20480000;40960000;81920000;163840000;327680000;655360000;1310720000;2621440000;5242880000;10485760000;20971520000;41943040000;83886080000;1,68E+11;3,36E+11;6,71E+11;1,34E+12;2,68E+12;5,37E+12
Smithy;1,26;240;302,4;381,024;480,09024;604,9137024;762,191265;960,3609939;1210,054852;1524,669114;1921,083084;2420,564685;3049,911504;3842,888494;4842,039503;6100,969774;7687,221915;9685,899613;12204,23351;15377,33423;19375,44112;24413,05582;30760,45033;38758,16741;48835,29094;61532,46659;77530,9079;97688,94395;123088,0694;155090,9674;195414,6189
Rally point;1,26;30;37,8;47,628;60,01128;75,6142128;95,27390813;120,0451242;151,2568565;190,5836392;240,1353854;302,5705857;381,2389379;480,3610618;605,2549379;762,6212217;960,9027394;1210,737452;1525,529189;1922,166778;2421,93014;3051,631977;3845,056291;4844,770927;6104,411368;7691,558323;9691,363487;12211,11799;15386,00867;19386,37093;24426,82737
