;factor;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Village headquarters;1,26;90;113,4;142,884;180,03384;226,8426384;285,8217244;360,1353727;453,7705696;571,7509177;720,4061563;907,711757;1143,716814;1441,083185;1815,764814;2287,863665;2882,708218;3632,212355;4576,587567;5766,500334;7265,790421;9154,895931;11535,16887;14534,31278;18313,2341;23074,67497;29074,09046;36633,35398;46158,02602;58159,11278;73280,4821
Barracks;1,26;200;252;317,52;400,0752;504,094752;635,1593875;800,3008283;1008,379044;1270,557595;1600,90257;2017,137238;2541,59292;3202,407079;4035,032919;5084,141478;6406,018262;8071,583011;10170,19459;12814,44519;16146,20094;20344,21318;25633,70861;32298,47284;40696,07578;51277,05549;64609,08992;81407,45329;102573,3911;129242,4728;162845,5158
Stable;1,26;270;340,2;428,652;540,10152;680,5279152;857,4651732;1080,406118;1361,311709;1715,252753;2161,218469;2723,135271;3431,150441;4323,249556;5447,294441;6863,590995;8648,124654;10896,63706;13729,7627;17299,501;21797,37126;27464,68779;34605,50662;43602,93834;54939,70231;69224,02491;87222,27139;109900,0619;138474,0781;174477,3383;219841,4463
Workshop;1,26;300;378;476,28;600,1128;756,142128;952,7390813;1200,451242;1512,568565;1905,836392;2401,353854;3025,705857;3812,389379;4803,610618;6052,549379;7626,212217;9609,027394;12107,37452;15255,29189;19221,66778;24219,3014;30516,31977;38450,56291;48447,70927;61044,11368;76915,58323;96913,63487;122111,1799;153860,0867;193863,7093;244268,2737
First Church;1,26;160;201,6;254,016;320,06016;403,2758016;508,12751;640,2406626;806,7032349;1016,446076;1280,722056;1613,70979;2033,274336;2561,925663;3228,026335;4067,313183;5124,81461;6457,266409;8136,155675;10251,55615;12916,96075;16275,37054;20506,96689;25838,77828;32556,86063;41021,64439;51687,27193;65125,96263;82058,71292;103393,9783;130276,4126
Church;1,26;16000;20160;25401,6;32006,016;40327,58016;50812,751;64024,06626;80670,32349;101644,6076;128072,2056;161370,979;203327,4336;256192,5663;322802,6335;406731,3183;512481,461;645726,6409;813615,5675;1025155,615;1291696,075;1627537,054;2050696,689;2583877,828;3255686,063;4102164,439;5168727,193;6512596,263;8205871,292;10339397,83;13027641,26
Watchtower;1,17;12000;14040;16426,8;19219,356;22486,64652;26309,37643;30781,97042;36014,90539;42137,43931;49300,80399;57681,94067;67487,87058;78960,80858;92384,14604;108089,4509;126464,6575;147963,6493;173117,4697;202547,4395;236980,5042;277267,19;324402,6123;379551,0563;444074,7359;519567,441;607893,906;711235,87;832145,9679;973610,7825;1139124,615
Academy;2;15000;30000;60000;120000;240000;480000;960000;1920000;3840000;7680000;15360000;30720000;61440000;122880000;245760000;491520000;983040000;1966080000;3932160000;7864320000;15728640000;31457280000;62914560000;1,26E+11;2,52E+11;5,03E+11;1,01E+12;2,01E+12;4,03E+12;8,05E+12
Smithy;1,26;220;277,2;349,272;440,08272;554,5042272;698,6753263;880,3309111;1109,216948;1397,613354;1760,992827;2218,850962;2795,752212;3522,647787;4438,536211;5592,555626;7046,620089;8878,741312;11187,21405;14095,88971;17760,82103;22378,6345;28197,07947;35528,32013;44765,68336;56404,76104;71069,99891;89548,19862;112830,7303;142166,7201;179130,0674
Rally point;1,26;10;12,6;15,876;20,00376;25,2047376;31,75796938;40,01504141;50,41895218;63,52787975;80,04512848;100,8568619;127,079646;160,1203539;201,751646;254,2070739;320,3009131;403,5791505;508,5097297;640,7222594;807,3100468;1017,210659;1281,68543;1614,923642;2034,803789;2563,852774;3230,454496;4070,372665;5128,669557;6462,123642;8142,275789
